iter	Passed	Remaining
871	2457	3178
872	2459	3175
873	2462	3172
874	2466	3171
875	2469	3168
876	2472	3165
877	2475	3163
878	2478	3160
879	2481	3158
880	2484	3155
881	2487	3152
882	2490	3149
883	2492	3147
884	2495	3144
885	2498	3141
886	2501	3138
887	2504	3136
888	2507	3133
889	2510	3130
890	2513	3127
891	2515	3124
892	2518	3121
893	2521	3118
894	2524	3116
895	2526	3113
896	2529	3110
897	2532	3107
898	2535	3105
899	2538	3102
900	2541	3099
901	2544	3097
902	2547	3094
903	2550	3092
904	2554	3090
905	2556	3087
906	2560	3085
907	2562	3082
908	2566	3079
909	2569	3077
910	2571	3074
911	2574	3071
912	2577	3068
913	2580	3066
914	2583	3063
915	2586	3060
916	2589	3057
917	2592	3055
918	2594	3052
919	2597	3049
920	2600	3046
921	2603	3044
922	2606	3041
923	2609	3038
924	2612	3035
925	2614	3032
926	2617	3029
927	2620	3026
928	2622	3023
929	2625	3020
930	2628	3018
931	2631	3015
932	2633	3012
933	2636	3009
934	2639	3006
935	2642	3003
936	2645	3000
937	2648	2998
938	2651	2995
939	2654	2992
940	2657	2990
941	2660	2987
942	2662	2984
943	2665	2981
944	2668	2978
945	2671	2976
946	2673	2973
947	2676	2970
948	2679	2967
949	2682	2964
950	2685	2961
951	2688	2959
952	2691	2956
953	2693	2953
954	2696	2950
955	2699	2947
956	2701	2944
957	2704	2941
958	2707	2938
959	2709	2935
960	2712	2932
961	2715	2930
962	2718	2927
963	2720	2924
964	2723	2921
965	2726	2918
966	2728	2915
967	2731	2912
968	2734	2909
969	2736	2906
970	2739	2903
971	2742	2900
972	2745	2897
973	2748	2894
974	2751	2892
975	2753	2889
976	2756	2886
977	2759	2883
978	2762	2880
979	2764	2877
980	2767	2874
981	2770	2871
982	2772	2868
983	2775	2865
984	2778	2862
985	2780	2859
986	2783	2856
987	2786	2853
988	2788	2850
989	2791	2848
990	2794	2845
991	2797	2842
992	2800	2839
993	2802	2836
994	2805	2833
995	2808	2830
996	2810	2827
997	2813	2824
998	2815	2820
999	2818	2818
1000	2820	2815
1001	2823	2812
1002	2826	2809
1003	2828	2806
1004	2831	2803
1005	2834	2800
1006	2837	2797
1007	2839	2794
1008	2842	2791
1009	2844	2788
1010	2847	2785
1011	2849	2782
1012	2852	2779
1013	2855	2776
1014	2857	2773
1015	2860	2770
1016	2863	2767
1017	2865	2764
1018	2868	2761
1019	2870	2758
1020	2873	2755
1021	2876	2752
1022	2878	2749
1023	2881	2746
1024	2884	2743
1025	2886	2740
1026	2889	2737
1027	2892	2735
1028	2895	2732
1029	2897	2728
1030	2900	2725
1031	2903	2723
1032	2905	2720
1033	2908	2717
1034	2911	2714
1035	2914	2711
1036	2916	2708
1037	2919	2705
1038	2922	2702
1039	2924	2699
1040	2927	2696
1041	2930	2693
1042	2932	2690
1043	2935	2687
1044	2938	2685
1045	2940	2682
1046	2943	2679
1047	2946	2676
1048	2948	2673
1049	2951	2670
1050	2954	2667
1051	2956	2664
1052	2959	2661
1053	2962	2658
1054	2964	2655
1055	2967	2653
1056	2970	2650
1057	2973	2647
1058	2975	2644
1059	2978	2641
1060	2981	2638
1061	2983	2635
1062	2986	2632
1063	2989	2629
1064	2991	2626
1065	2994	2623
1066	2997	2621
1067	3000	2618
1068	3002	2615
1069	3005	2612
1070	3008	2609
1071	3012	2607
1072	3015	2604
1073	3017	2602
1074	3020	2599
1075	3023	2596
1076	3026	2593
1077	3029	2591
1078	3032	2588
1079	3035	2585
1080	3038	2582
1081	3040	2580
1082	3043	2577
1083	3046	2574
1084	3048	2571
1085	3051	2568
1086	3054	2565
1087	3057	2562
1088	3059	2559
1089	3062	2556
1090	3065	2553
1091	3067	2550
1092	3070	2548
1093	3073	2545
1094	3076	2542
1095	3079	2539
1096	3081	2536
1097	3084	2533
1098	3087	2531
1099	3089	2528
1100	3092	2525
1101	3095	2522
1102	3098	2519
1103	3100	2516
1104	3103	2513
1105	3106	2510
1106	3109	2508
1107	3111	2505
1108	3114	2502
1109	3117	2499
1110	3120	2496
1111	3122	2493
1112	3125	2490
1113	3128	2487
1114	3131	2485
1115	3133	2482
1116	3136	2479
1117	3139	2476
1118	3142	2474
1119	3145	2471
1120	3147	2468
1121	3150	2465
1122	3153	2462
1123	3155	2459
1124	3158	2456
1125	3161	2453
1126	3164	2451
1127	3167	2448
1128	3169	2445
1129	3172	2442
1130	3175	2440
1131	3178	2437
1132	3181	2434
1133	3184	2431
1134	3187	2428
1135	3189	2426
1136	3192	2423
1137	3195	2420
1138	3198	2417
1139	3200	2414
1140	3203	2411
1141	3206	2409
1142	3209	2406
1143	3212	2403
1144	3215	2400
1145	3218	2398
1146	3220	2395
1147	3223	2392
1148	3226	2389
1149	3229	2386
1150	3232	2384
1151	3234	2381
1152	3237	2378
1153	3240	2375
1154	3243	2372
1155	3246	2369
1156	3249	2367
1157	3251	2364
1158	3254	2361
1159	3257	2358
1160	3260	2355
1161	3262	2353
1162	3265	2350
1163	3268	2347
1164	3271	2344
1165	3273	2341
1166	3276	2338
1167	3279	2335
1168	3281	2333
1169	3284	2330
1170	3287	2327
1171	3290	2324
1172	3293	2322
1173	3296	2319
1174	3299	2316
1175	3302	2313
1176	3304	2310
1177	3307	2308
1178	3310	2305
1179	3313	2302
1180	3316	2299
1181	3319	2297
1182	3322	2294
1183	3325	2291
1184	3328	2288
1185	3330	2286
1186	3333	2283
1187	3336	2280
1188	3339	2277
1189	3342	2274
1190	3344	2272
1191	3347	2269
1192	3350	2266
1193	3353	2263
1194	3356	2260
1195	3359	2258
1196	3362	2255
1197	3364	2252
1198	3367	2249
1199	3370	2246
1200	3373	2244
1201	3376	2241
1202	3379	2238
1203	3381	2235
1204	3384	2233
1205	3387	2230
1206	3390	2227
1207	3392	2224
1208	3395	2221
1209	3398	2219
1210	3402	2216
1211	3405	2213
1212	3407	2211
1213	3410	2208
1214	3414	2205
1215	3416	2202
1216	3419	2199
1217	3421	2196
1218	3424	2193
1219	3427	2191
1220	3429	2188
1221	3432	2185
1222	3435	2182
1223	3438	2179
1224	3441	2177
1225	3444	2174
1226	3447	2171
1227	3449	2168
1228	3452	2165
1229	3455	2163
1230	3458	2160
1231	3460	2157
1232	3463	2154
1233	3466	2151
1234	3469	2148
1235	3471	2146
1236	3474	2143
1237	3477	2140
1238	3480	2137
1239	3483	2134
1240	3486	2132
1241	3489	2129
1242	3492	2126
1243	3494	2123
1244	3498	2121
1245	3501	2118
1246	3503	2115
1247	3506	2112
1248	3509	2109
1249	3511	2107
1250	3514	2104
1251	3517	2101
1252	3520	2098
1253	3523	2095
1254	3525	2093
1255	3528	2090
1256	3531	2087
1257	3534	2084
1258	3538	2082
1259	3540	2079
1260	3544	2077
1261	3547	2074
1262	3550	2071
1263	3553	2068
1264	3556	2066
1265	3559	2063
1266	3562	2061
1267	3565	2058
1268	3568	2055
1269	3571	2052
1270	3574	2050
1271	3577	2047
1272	3580	2044
1273	3583	2042
1274	3586	2039
1275	3589	2036
1276	3592	2034
1277	3596	2031
1278	3599	2028
1279	3602	2026
1280	3605	2023
1281	3608	2020
1282	3611	2018
1283	3614	2015
1284	3617	2012
1285	3620	2010
1286	3623	2007
1287	3627	2004
1288	3630	2002
1289	3633	1999
1290	3636	1997
1291	3639	1994
1292	3642	1991
1293	3645	1988
1294	3648	1986
1295	3651	1983
1296	3654	1980
1297	3657	1978
1298	3660	1975
1299	3663	1972
1300	3666	1969
1301	3669	1967
1302	3672	1964
1303	3675	1961
1304	3678	1958
1305	3681	1956
1306	3683	1953
1307	3686	1950
1308	3689	1947
1309	3692	1944
1310	3695	1942
1311	3698	1939
1312	3700	1936
1313	3703	1933
1314	3707	1931
1315	3710	1928
1316	3712	1925
1317	3715	1922
1318	3718	1919
1319	3721	1916
1320	3723	1914
1321	3726	1911
1322	3729	1908
1323	3732	1905
1324	3735	1902
1325	3737	1899
1326	3740	1897
1327	3743	1894
1328	3746	1891
1329	3748	1888
1330	3751	1885
1331	3754	1882
1332	3757	1880
1333	3760	1877
1334	3763	1874
1335	3766	1871
1336	3768	1868
1337	3771	1866
1338	3774	1863
1339	3777	1860
1340	3780	1857
1341	3783	1855
1342	3786	1852
1343	3789	1849
1344	3791	1846
1345	3794	1843
1346	3797	1840
1347	3799	1837
1348	3802	1834
1349	3805	1832
1350	3807	1829
1351	3810	1826
1352	3813	1823
1353	3815	1820
1354	3818	1817
1355	3821	1814
1356	3823	1811
1357	3826	1809
1358	3829	1806
1359	3831	1803
1360	3834	1800
1361	3837	1797
1362	3839	1794
1363	3842	1791
1364	3845	1788
1365	3847	1785
1366	3850	1783
1367	3853	1780
1368	3855	1777
1369	3858	1774
1370	3861	1771
1371	3863	1768
1372	3866	1765
1373	3870	1763
1374	3873	1760
1375	3876	1757
1376	3878	1754
1377	3881	1752
1378	3884	1749
1379	3887	1746
1380	3889	1743
1381	3892	1740
1382	3894	1737
1383	3897	1734
1384	3900	1731
1385	3902	1728
1386	3905	1726
1387	3908	1723
1388	3910	1720
1389	3913	1717
1390	3916	1714
